ID,DATE,LOCATION,Governorate,CHEMICAL,PERPETRATOR,perp_recode,# OF CASUALTIES,# OF INJURIES,inj_cat,SOURCE
62,28-Nov-16,"Karm al-Qaterji, Qadi Askar",Aleppo,Chlorine,Syrian government,Syrian government,-,40+,20-100,https://www.hrw.org/news/2017/02/13/syria-coordinated-chemical-attacks-aleppo
63,8-Dec-16,"al-Fardous, al-Maghayer, Kallesh",Aleppo,Chlorine,Syrian government,Syrian government,2,70+,20-100,https://www.hrw.org/news/2017/02/13/syria-coordinated-chemical-attacks-aleppo
64,8-Dec-16,Bustan al-Qasr,Aleppo,Chlroine,Syrian Government,Syrian government,-,Several,< 20,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
66,9-Dec-16,Bustan al-Qasr,Aleppo,Chlorine,Syrian Government,Syrian government,-,35,20-100,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
65,9-Dec-16,Kallaseh,Aleppo,Chlorine,Syrian government,Syrian government,-,50+,20-100,https://www.hrw.org/news/2017/02/13/syria-coordinated-chemical-attacks-aleppo
67,10-Dec-16,Al Hayat Clinic,Aleppo,Unspecified,Syrian Government,Syrian government,-,-,Unknown,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
68,12-Dec-16,"al-Salaliyah, Uqayribat",Hama,Unconfirmed,Unspecified,Syrian government,42,"Numerous, unconfirmed number",Unknown,https://www.hrw.org/report/2017/05/01/death-chemicals/syrian-governments-widespread-and-systematic-use-chemical-weapons
68,12-Dec-16,"Jrouh, Uqayribat",Hama,Unconfirmed,Syrian government,Syrian government,25,"Numerous, unconfirmed number",Unknown,https://www.hrw.org/report/2017/05/01/death-chemicals/syrian-governments-widespread-and-systematic-use-chemical-weapons
69,8-Jan-17,Bsima,Damascus,Chlorine,Syrian government,Syrian government,-,46,20-100,https://www.hrw.org/report/2017/05/01/death-chemicals/syrian-governments-widespread-and-systematic-use-chemical-weapons
69,8-Jan-17,Bsima,Damascus,Chlorine,Syrian Government,Syrian government,-,6,20-100,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
70,30-Jan-17,Marj al-Sultan,Damascus,Chlorine,Syrian government,Syrian government,-,11,< 20,https://www.hrw.org/report/2017/05/01/death-chemicals/syrian-governments-widespread-and-systematic-use-chemical-weapons
70,30-Jan-17,Sultan al-Marj,Damascus,Chlorine,Syrian Government,Syrian government,-,11,< 20,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
71,9-Feb-17,Arbin,Damascus,Chlorine,Syrian government,Syrian government,-,6,< 20,https://www.hrw.org/report/2017/05/01/death-chemicals/syrian-governments-widespread-and-systematic-use-chemical-weapons
72,25-Mar-17,al-Lataminah,Hama,Chlorine,Syrian government,Syrian government,3,35,20-100,https://www.bellingcat.com/news/mena/2017/10/09/summary-open-source-evidence-march-25th-2017-chlorine-attack-al-lataminah-hama/
72,25-Mar-17,al-Lataminah,Hama,Chlorine,Syrian government,Syrian government,3,32,20-100,https://www.hrw.org/report/2017/05/01/death-chemicals/syrian-governments-widespread-and-systematic-use-chemical-weapons
72,25-Mar-17,al-Lataminah,Hama,Chlorine,Syrian Government,Syrian government,3,32,20-100,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
73,29-Mar-17,Qaboun,Damascus,Chlorine,Syrian government,Syrian government,-,35,20-100,https://www.hrw.org/report/2017/05/01/death-chemicals/syrian-governments-widespread-and-systematic-use-chemical-weapons
73,29-Mar-17,Qaboun,Damascus,Chlorine,Syrian Government,Syrian government,-,35,20-100,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
74,30-Mar-17,al-Lataminah,Hama,Unspecified,Syrian Government,Syrian government,-,85,"100 - 1,000",http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
74,30-Mar-17,al-Lataminah,Hama,Sarin,Syrian government,Syrian government,-,169,"100 - 1,000",https://www.bellingcat.com/news/mena/2017/10/26/investigating-march-30-2017-sarin-attack-al-lataminah/
74,30-Mar-17,al-Lataminah,Hama,Unconfirmed,Syrian government,Syrian government,-,169,"100 - 1,000",https://www.hrw.org/report/2017/05/01/death-chemicals/syrian-governments-widespread-and-systematic-use-chemical-weapons
74,3-Apr-17,al-Lataminah,Hama,Chlorine,Syrian government,Syrian government,-,12,"100 - 1,000",https://www.hrw.org/report/2017/05/01/death-chemicals/syrian-governments-widespread-and-systematic-use-chemical-weapons
75,4-Apr-17,Khan Sheikhoun,Idlib,Sarin,Syrian government,Syrian government,92,hundreds,"100 - 1,000",https://www.hrw.org/report/2017/05/01/death-chemicals/syrian-governments-widespread-and-systematic-use-chemical-weapons
75,4-Apr-17,Khan Sheikhoun,Idlib,Sarin,Syrian Government,Syrian government,Dozens,Hundreds,"100 - 1,000",http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
75,4-Apr-17,Khan Sheikhoun,Idlib,Sarin-Like Substance,Unspecified,Syrian government,50,201,"100 - 1,000",https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1510-2017_e_.pdf
75,4-Apr-17,Khan Sheikhoun,Idlib,Sarin,Syrian Government,Syrian government,-,-,"100 - 1,000",JIM 7
77,7-Apr-17,al-Hayat Hospital,Aleppo,Unspecified,Syrian Government,Syrian government,-,2,< 20,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
76,7-Apr-17,Qaboun,Damascus,Chlorine,Syrian government,Syrian government,-,2,< 20,https://www.hrw.org/report/2017/05/01/death-chemicals/syrian-governments-widespread-and-systematic-use-chemical-weapons
78,1-Jul-17,Ain Tarma,Damascus,Chlorine,Syrian Government,Syrian government,-,-,Unknown,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
79,2-Jul-17,Zamalka,Damascus,Chlorine,Syrian Government,Syrian government,-,-,Unknown,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
80,6-Jul-17,Jobar,Damascus,Chlorine,Syrian Government,Syrian government,-,-,Unknown,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
81,13-Jan-18,Douma,Damascus,unknown,Syrian government,Syrian government,-,-,Unknown,https://www.bellingcat.com/news/mena/2018/02/01/third-time-year-chlorine-used-chemical-weapon-douma-damascus/
82,22-Jan-18,Douma,Damascus,Chlorine,Syrian government,Syrian government,-,21,20-100,https://www.bellingcat.com/news/mena/2018/02/05/details-january-22nd-2018-chlorine-attack-douma-damascus/
83,1-Feb-18,Douma,Damascus,Chlorine,Syrian government,Syrian government,-,4,< 20,https://www.bellingcat.com/news/mena/2018/02/12/new-details-february-1st-2018-chlorine-attack-douma-damascus/
84,4-Feb-18,Saraqeb,Idlib,Chlorine,Syrian Governemnt,Syrian government,-,11,< 20,https://www.amnesty.org/en/latest/news/2018/02/syria-witness-testimony-reveals-details-of-illegal-chemical-attack-on-saraqeb/
84,4-Feb-18,Saraqeb,Idlib,Chlorine,Syrian government,Syrian government,-,12,< 20,https://www.bellingcat.com/news/mena/2018/02/14/evidence-february-4th-2018-chlorine-attack-saraqib-idlib/
